verb_activity,n
Hiking,50
Shopping,46
Stargazing,34
Wildlife Watching,31
Camping,30
Scenic Driving,26
Horse Trekking,23
Canoe or Kayak Camping,22
Group Camping,22
Paddling,21
Skiing,21
Backcountry Camping,19
Dining,19
Road Biking,19
Birdwatching,16
Fishing,15
Horseback Riding,14
Car or Front Country Camping,13
Climbing,12
Picnicking,12
Snowshoeing,12
Flying,9
Freshwater Fishing,9
Kayaking,9
Snowmobiling,9
Fly Fishing,8
Swimming,8
Biking,6
Boating,6
Hunting and Gathering,6
Motorized Boating,6
Mountain Climbing,6
RV Camping,6
Rock Climbing,6
Caving,5
Geocaching,5
Canoeing,4
Hunting,4
Mountain Biking,4
Orienteering,4
SCUBA Diving,4
Saltwater Fishing,4
Tubing,4
Whitewater Rafting,4
Canyoneering,3
Downhill Skiing,3
Freshwater Swimming,3
Saltwater Swimming,3
Stand Up Paddleboarding,3
Backcountry Hiking,2
Gathering and Foraging,2
Ice Skating,2
Surfing,2
Water Skiing,2
Fixed Wing Flying,1
Ice Climbing,1
Sailing,1
