address,street_address,city,state,zip_code
"25 Visitor Center Road   Bar Harbor ME, 04609",25 Visitor Center Road,Bar Harbor,ME,04609
"25216 Ben Reifel Road   Interior SD, 57750",25216 Ben Reifel Road,Interior,SD,57750
"1 Panther Junction   Big Bend National Park TX, 79834",1 Panther Junction,Big Bend National Park,TX,79834
"9700 SW 328th Street  Homestead FL, 33033",9700 SW 328th Street,Homestead,FL,33033
"9800 Highway 347  Montrose CO, 81401",9800 Highway 347,Montrose,CO,81401
"Highway 63 Bryce Canyon National Park  Bryce UT, 84764",Highway 63 Bryce Canyon National Park,Bryce,UT,84764
"52 West Headquarters Drive   Torrey UT, 84775",52 West Headquarters Drive,Torrey,UT,84775
"727 Carlsbad Caverns Highway   Carlsbad NM, 88220",727 Carlsbad Caverns Highway,Carlsbad,NM,88220
"1901 Spinnaker Drive   Ventura CA, 93001",1901 Spinnaker Drive,Ventura,CA,93001
"100 National Park Road   Hopkins SC, 29061",100 National Park Road,Hopkins,SC,29061
"1 Sager Building  Crater Lake OR, 97604",1 Sager Building,Crater Lake,OR,97604
"6947 Riverview Road  Peninsula OH, 44264",6947 Riverview Road,Peninsula,OH,44264
"Mile 237 Highway 3   Denali Park AK, 99755",Mile 237 Highway 3,Denali Park,AK,99755
"PO Box 579   Death Valley CA, 92328",PO Box 579,Death Valley,CA,92328
"40001 SR-9336   Homestead FL, 33034",40001 SR-9336,Homestead,FL,33034
"40001 State Road 9336   Homestead FL, 33034",40001 State Road 9336,Homestead,FL,33034
"101 Dunkel St   Fairbanks AK, 99701",101 Dunkel St,Fairbanks,AK,99701
"64 Grinnell Drive  West Glacier MT, 59936",64 Grinnell Drive,West Glacier,MT,59936
"1 Park Road   Gustavus AK, 99826",1 Park Road,Gustavus,AK,99826
"Lehman Caves Visitor Center on Nevada 488  Baker NV, 89311",Lehman Caves Visitor Center on Nevada 488,Baker,NV,89311
"20 South Entrance Road  Grand Canyon AZ, 86023",20 South Entrance Road,Grand Canyon,AZ,86023
"11999 State Highway 150  Mosca CO, 81146",11999 State Highway 150,Mosca,CO,81146
"107 Park Headquarters Road   Gatlinburg TN, 37738",107 Park Headquarters Road,Gatlinburg,TN,37738
"103 Headquarters Loop   Moose WY, 83012",103 Headquarters Loop,Moose,WY,83012
"400 Pine Canyon   Salt Flat TX, 79847",400 Pine Canyon,Salt Flat,TX,79847
"Haleakala National Park Route 378  Kula HI, 96790",Haleakala National Park Route 378,Kula,HI,96790
"1 Crater Rim Drive   Hawaii National Park HI, 96718",1 Crater Rim Drive,Hawaii National Park,HI,96718
"369 Central Avenue   Hot Springs AR, 71901",369 Central Avenue,Hot Springs,AR,71901
"800 East Lakeshore Drive   Houghton MI, 49931",800 East Lakeshore Drive,Houghton,MI,49931
"74485 National Park Drive   Twentynine Palms CA, 92277-3597",74485 National Park Drive,Twentynine Palms,CA,92277-3597
"1000 Silver Street  King Salmon AK, 99613",1000 Silver Street,King Salmon,AK,99613
"411 Washington Street   Seward AK, 99664",411 Washington Street,Seward,AK,99664
"171 3rd Ave   Kotzebue AK, 99752",171 3rd Ave,Kotzebue,AK,99752
"1 Park Place   Port Alsworth AK, 99653",1 Park Place,Port Alsworth,AK,99653
"38050 Highway 36 East  Mineral CA, 96063",38050 Highway 36 East,Mineral,CA,96063
"1 Visitor Center Parkway   Mammoth Cave KY, 42259-0007",1 Visitor Center Parkway,Mammoth Cave,KY,42259-0007
"34840 Hwy 160   Mancos CO, 81328",34840 Hwy 160,Mancos,CO,81328
"55210 238th Avenue East   Ashford WA, 98304",55210 238th Avenue East,Ashford,WA,98304
"810 State Route 20   Sedro-Woolley WA, 98284",810 State Route 20,Sedro-Woolley,WA,98284
"3002 Mount Angeles Road  Port Angeles WA, 98362",3002 Mount Angeles Road,Port Angeles,WA,98362
"Exit 311 Interstate 40  Petrified Forest AZ, 86028",Exit 311 Interstate 40,Petrified Forest,AZ,86028
"5000 East Entrance Road   Paicines CA, 95043",5000 East Entrance Road,Paicines,CA,95043
"1111 Second Street   Crescent City CA, 95531",1111 Second Street,Crescent City,CA,95531
"1000 US Hwy 36   Estes Park CO, 80517",1000 US Hwy 36,Estes Park,CO,80517
"3693 S Old Spanish Trail   Tucson AZ, 85730",3693 S Old Spanish Trail,Tucson,AZ,85730
"47050 Generals Highway   Three Rivers CA, 93271",47050 Generals Highway,Three Rivers,CA,93271
"3655 U.S. Highway 211  East Luray VA, 22835",3655 U.S. Highway 211,East Luray,VA,22835
"315 Second Avenue   Medora ND, 58645",315 Second Avenue,Medora,ND,58645
"360 Hwy 11 East  International Falls MN, 56649",360 Hwy 11 East,International Falls,MN,56649
"26611 US Highway 385   Hot Springs SD, 57747",26611 US Highway 385,Hot Springs,SD,57747
"Mile 106.8 Richardson Highway  Copper Center AK, 99573",Mile 106.8 Richardson Highway,Copper Center,AK,99573
"2 Officers Row  Yellowstone National Park WY, 82190",2 Officers Row,Yellowstone National Park,WY,82190
"9039 Village Drive   Yosemite CA, 95389",9039 Village Drive,Yosemite,CA,95389
"1 Zion Park Blvd  Springdale UT, 84767",1 Zion Park Blvd,Springdale,UT,84767
