year,sex,name,n,prop
2000,F,Emily,25953,0.0130098
2000,F,Hannah,23080,0.01156961
2000,F,Madison,19967,0.01000912
2000,F,Ashley,17997,0.00902159
2000,F,Sarah,17697,0.00887121
2000,F,Alexis,17629,0.00883712
2000,F,Samantha,17266,0.00865515
2000,F,Jessica,15709,0.00787466
2000,F,Elizabeth,15094,0.00756637
2000,F,Taylor,15078,0.00755835
2000,F,Lauren,14175,0.00710569
2000,F,Alyssa,13553,0.00679389
2000,F,Kayla,13312,0.00667308
2000,F,Abigail,13088,0.00656079
2000,F,Brianna,12878,0.00645552
2000,F,Olivia,12852,0.00644249
2000,F,Emma,12548,0.0062901
2000,F,Megan,11434,0.00573167
2000,F,Grace,11284,0.00565648
2000,F,Victoria,10923,0.00547551
2000,F,Rachel,10673,0.00535019
2000,F,Anna,10588,0.00530758
2000,F,Sydney,10242,0.00513414
2000,F,Destiny,9850,0.00493764
2000,F,Morgan,9502,0.00476319
2000,F,Jennifer,9385,0.00470454
2000,F,Jasmine,9097,0.00456017
2000,F,Haley,9070,0.00454664
2000,F,Julia,8766,0.00439425
2000,F,Kaitlyn,8758,0.00439024
2000,F,Nicole,8561,0.00429148
2000,F,Amanda,8552,0.00428697
2000,F,Katherine,8107,0.0040639
2000,F,Natalie,8094,0.00405738
2000,F,Hailey,7831,0.00392555
2000,F,Alexandra,7546,0.00378268
2000,F,Savannah,7099,0.00355861
2000,F,Chloe,7094,0.0035561
2000,F,Rebecca,7063,0.00354056
2000,F,Stephanie,7030,0.00352402
2000,F,Maria,6852,0.00343479
2000,F,Sophia,6563,0.00328992
2000,F,Mackenzie,6348,0.00318214
2000,F,Allison,6314,0.0031651
2000,F,Isabella,6242,0.00312901
2000,F,Mary,6192,0.00310394
2000,F,Amber,6181,0.00309843
2000,F,Danielle,6088,0.00305181
2000,F,Gabrielle,5869,0.00294203
2000,F,Jordan,5808,0.00291145
2000,F,Brooke,5640,0.00282724
2000,F,Michelle,5544,0.00277911
2000,F,Sierra,5521,0.00276758
2000,F,Katelyn,5502,0.00275806
2000,F,Andrea,5478,0.00274603
2000,F,Madeline,5370,0.00269189
2000,F,Sara,5316,0.00266482
2000,F,Kimberly,5242,0.00262773
2000,F,Courtney,5239,0.00262622
2000,F,Erin,5184,0.00259865
2000,F,Brittany,5183,0.00259815
2000,F,Vanessa,5133,0.00257309
2000,F,Jenna,5045,0.00252897
2000,F,Jacqueline,5036,0.00252446
2000,F,Caroline,5022,0.00251744
2000,F,Faith,4998,0.00250541
2000,F,Makayla,4917,0.00246481
2000,F,Bailey,4648,0.00232996
2000,F,Paige,4609,0.00231041
2000,F,Shelby,4559,0.00228535
2000,F,Melissa,4529,0.00227031
2000,F,Kaylee,4493,0.00225226
2000,F,Christina,4328,0.00216955
2000,F,Trinity,4284,0.0021475
2000,F,Mariah,4104,0.00205727
2000,F,Caitlin,4102,0.00205626
2000,F,Autumn,4027,0.00201867
2000,F,Marissa,4025,0.00201766
2000,F,Angela,3824,0.00191691
2000,F,Breanna,3824,0.00191691
2000,F,Catherine,3800,0.00190488
2000,F,Zoe,3785,0.00189736
2000,F,Briana,3754,0.00188182
2000,F,Jada,3747,0.00187831
2000,F,Laura,3733,0.00187129
2000,F,Claire,3710,0.00185976
2000,F,Alexa,3674,0.00184171
2000,F,Kelsey,3669,0.00183921
2000,F,Kathryn,3641,0.00182517
2000,F,Leslie,3623,0.00181615
2000,F,Alexandria,3549,0.00177905
2000,F,Sabrina,3467,0.00173795
2000,F,Mia,3451,0.00172993
2000,F,Isabel,3447,0.00172792
2000,F,Molly,3399,0.00170386
2000,F,Leah,3397,0.00170286
2000,F,Katie,3393,0.00170085
2000,F,Gabriella,3369,0.00168882
2000,F,Cheyenne,3367,0.00168782
2000,F,Cassandra,3305,0.00165674
2000,F,Tiffany,3305,0.00165674
2000,F,Erica,3220,0.00161413
2000,F,Lindsey,3211,0.00160962
2000,F,Kylie,3206,0.00160711
2000,F,Amy,3172,0.00159007
2000,F,Diana,3165,0.00158656
2000,F,Cassidy,3163,0.00158556
2000,F,Mikayla,3159,0.00158355
2000,F,Ariana,3153,0.00158055
2000,F,Margaret,3121,0.0015645
2000,F,Kelly,3076,0.00154195
2000,F,Miranda,3041,0.0015244
2000,F,Maya,3017,0.00151237
2000,F,Melanie,2967,0.00148731
2000,F,Audrey,2872,0.00143968
2000,F,Jade,2864,0.00143567
2000,F,Gabriela,2844,0.00142565
2000,F,Caitlyn,2835,0.00142114
2000,F,Angel,2833,0.00142013
2000,F,Jillian,2779,0.00139307
2000,F,Alicia,2761,0.00138404
2000,F,Jocelyn,2744,0.00137552
2000,F,Erika,2733,0.00137001
2000,F,Lily,2732,0.00136951
2000,F,Heather,2684,0.00134544
2000,F,Madelyn,2684,0.00134544
2000,F,Adriana,2680,0.00134344
2000,F,Arianna,2659,0.00133291
2000,F,Lillian,2599,0.00130283
2000,F,Kiara,2559,0.00128278
2000,F,Riley,2552,0.00127927
2000,F,Crystal,2550,0.00127827
2000,F,Mckenzie,2526,0.00126624
2000,F,Meghan,2514,0.00126023
2000,F,Skylar,2503,0.00125471
2000,F,Ana,2424,0.00121511
2000,F,Britney,2403,0.00120458
2000,F,Angelica,2394,0.00120007
2000,F,Kennedy,2391,0.00119857
2000,F,Chelsea,2380,0.00119305
2000,F,Daisy,2366,0.00118604
2000,F,Kristen,2356,0.00118102
2000,F,Veronica,2355,0.00118052
2000,F,Isabelle,2340,0.001173
2000,F,Summer,2338,0.001172
2000,F,Hope,2321,0.00116348
2000,F,Brittney,2316,0.00116097
2000,F,Lydia,2309,0.00115746
2000,F,Hayley,2300,0.00115295
2000,F,Evelyn,2222,0.00111385
2000,F,Bethany,2191,0.00109831
2000,F,Shannon,2180,0.0010928000000000001
2000,F,Karen,2172,0.00108879
2000,F,Michaela,2171,0.00108829
2000,F,Jamie,2155,0.00108026
2000,F,Daniela,2151,0.00107826
2000,F,Angelina,2140,0.00107275
2000,F,Kaitlin,2136,0.00107074
2000,F,Karina,2133,0.00106924
2000,F,Sophie,2101,0.0010532
2000,F,Sofia,2093,0.00104919
2000,F,Diamond,2080,0.00104267
2000,F,Payton,2058,0.00103164
2000,F,Cynthia,2038,0.00102161
2000,F,Alexia,2019,0.00101209
2000,F,Valerie,2016,0.00101059
2000,F,Monica,1990,9.9755e-4
2000,F,Peyton,1967,9.8602e-4
2000,F,Carly,1961,9.8302e-4
2000,F,Bianca,1956,9.8051e-4
2000,F,Hanna,1911,9.5795e-4
2000,F,Brenda,1898,9.5144e-4
2000,F,Rebekah,1894,9.4943e-4
2000,F,Alejandra,1860,9.3239e-4
2000,F,Mya,1839,9.2186e-4
2000,F,Avery,1832,9.1835e-4
2000,F,Brooklyn,1828,9.1635e-4
2000,F,Ashlyn,1822,9.1334e-4
2000,F,Lindsay,1800,9.0231e-4
2000,F,Ava,1796,9.003e-4
2000,F,Desiree,1790,8.973e-4
2000,F,Alondra,1762,8.8326e-4
2000,F,Camryn,1753,8.7875e-4
2000,F,Ariel,1752,8.7825e-4
2000,F,Naomi,1751,8.7775e-4
2000,F,Jordyn,1730,8.6722e-4
2000,F,Kendra,1730,8.6722e-4
2000,F,Mckenna,1704,8.5419e-4
2000,F,Holly,1690,8.4717e-4
2000,F,Julie,1677,8.4065e-4
2000,F,Kendall,1650,8.2712e-4
2000,F,Kara,1648,8.2611e-4
2000,F,Jasmin,1645,8.2461e-4
2000,F,Selena,1643,8.2361e-4
2000,F,Esmeralda,1641,8.2261e-4
2000,F,Amaya,1632,8.1809e-4
2000,F,Kylee,1628,8.1609e-4
2000,F,Maggie,1614,8.0907e-4
2000,F,Makenzie,1613,8.0857e-4
2000,F,Claudia,1608,8.0606e-4
2000,F,Kyra,1597,8.0055e-4
2000,F,Cameron,1596,8.0005e-4
2000,F,Karla,1587,7.9554e-4
2000,F,Kathleen,1583,7.9353e-4
2000,F,Abby,1566,7.8501e-4
2000,F,Delaney,1538,7.7097e-4
2000,F,Amelia,1531,7.6746e-4
2000,F,Casey,1517,7.6045e-4
2000,F,Serena,1504,7.5393e-4
2000,F,Savanna,1500,7.5192e-4
2000,F,Aaliyah,1496,7.4992e-4
2000,F,Giselle,1486,7.4491e-4
2000,F,Mallory,1466,7.3488e-4
2000,F,April,1451,7.2736e-4
2000,F,Adrianna,1446,7.2486e-4
2000,F,Raven,1446,7.2486e-4
2000,F,Christine,1441,7.2235e-4
2000,F,Kristina,1433,7.1834e-4
2000,F,Nina,1428,7.1583e-4
2000,F,Asia,1423,7.1333e-4
2000,F,Natalia,1423,7.1333e-4
2000,F,Valeria,1422,7.1282e-4
2000,F,Aubrey,1409,7.0631e-4
2000,F,Lauryn,1408,7.0581e-4
2000,F,Kate,1397,7.0029e-4
2000,F,Patricia,1392,6.9779e-4
2000,F,Jazmin,1391,6.9728e-4
2000,F,Rachael,1389,6.9628e-4
2000,F,Katelynn,1388,6.9578e-4
2000,F,Cierra,1383,6.9327e-4
2000,F,Alison,1382,6.9277e-4
2000,F,Nancy,1376,6.8977e-4
2000,F,Macy,1375,6.8926e-4
2000,F,Elena,1366,6.8475e-4
2000,F,Kyla,1363,6.8325e-4
2000,F,Katrina,1356,6.7974e-4
2000,F,Jazmine,1353,6.7824e-4
2000,F,Joanna,1349,6.7623e-4
2000,F,Tara,1337,6.7022e-4
2000,F,Gianna,1332,6.6771e-4
2000,F,Juliana,1319,6.6119e-4
2000,F,Fatima,1315,6.5919e-4
2000,F,Sadie,1313,6.5818e-4
2000,F,Allyson,1312,6.5768e-4
2000,F,Gracie,1312,6.5768e-4
2000,F,Guadalupe,1308,6.5568e-4
2000,F,Genesis,1303,6.5317e-4
2000,F,Yesenia,1294,6.4866e-4
2000,F,Julianna,1287,6.4515e-4
2000,F,Skyler,1284,6.4365e-4
2000,F,Tatiana,1283,6.4315e-4
2000,F,Alexus,1281,6.4214e-4
2000,F,Alana,1279,6.4114e-4
2000,F,Elise,1278,6.4064e-4
2000,F,Kirsten,1273,6.3813e-4
2000,F,Nadia,1271,6.3713e-4
2000,F,Sandra,1268,6.3563e-4
2000,F,Ruby,1264,6.3362e-4
2000,F,Dominique,1263,6.3312e-4
2000,F,Haylee,1261,6.3212e-4
2000,F,Jayla,1259,6.3112e-4
2000,F,Tori,1246,6.246e-4
2000,F,Cindy,1244,6.236e-4
2000,F,Sidney,1221,6.1207e-4
2000,F,Ella,1220,6.1157e-4
2000,F,Tessa,1210,6.0655e-4
2000,F,Carolina,1204,6.0354e-4
2000,F,Jaqueline,1199,6.0104e-4
2000,F,Camille,1198,6.0054e-4
2000,F,Carmen,1195,5.9903e-4
2000,F,Whitney,1194,5.9853e-4
2000,F,Vivian,1176,5.8951e-4
2000,F,Priscilla,1170,5.865e-4
2000,F,Bridget,1167,5.85e-4
2000,F,Celeste,1167,5.85e-4
2000,F,Kiana,1166,5.845e-4
2000,F,Makenna,1163,5.8299e-4
2000,F,Alissa,1156,5.7948e-4
2000,F,Madeleine,1153,5.7798e-4
2000,F,Miriam,1152,5.7748e-4
2000,F,Natasha,1144,5.7347e-4
2000,F,Ciara,1139,5.7096e-4
2000,F,Cecilia,1135,5.6896e-4
2000,F,Kassandra,1134,5.6845e-4
2000,F,Mercedes,1134,5.6845e-4
2000,F,Reagan,1131,5.6695e-4
2000,F,Aliyah,1116,5.5943e-4
2000,F,Josephine,1114,5.5843e-4
2000,F,Charlotte,1104,5.5342e-4
2000,F,Rylee,1102,5.5241e-4
2000,F,Shania,1098,5.5041e-4
2000,F,Kira,1092,5.474e-4
2000,F,Meredith,1092,5.474e-4
2000,F,Eva,1088,5.454e-4
2000,F,Lisa,1087,5.4489e-4
2000,F,Dakota,1086,5.4439e-4
2000,F,Hallie,1083,5.4289e-4
2000,F,Anne,1081,5.4189e-4
2000,F,Rose,1079,5.4088e-4
2000,F,Liliana,1064,5.3337e-4
2000,F,Kristin,1056,5.2935e-4
2000,F,Deanna,1051,5.2685e-4
2000,F,Imani,1051,5.2685e-4
2000,F,Marisa,1051,5.2685e-4
2000,F,Kailey,1050,5.2635e-4
2000,F,Annie,1041,5.2184e-4
2000,F,Nia,1033,5.1783e-4
2000,F,Carolyn,1029,5.1582e-4
2000,F,Anastasia,1027,5.1482e-4
2000,F,Brenna,1023,5.1281e-4
2000,F,Dana,1016,5.093e-4
2000,F,Shayla,1009,5.0579e-4
2000,F,Ashlee,1008,5.0529e-4
2000,F,Kassidy,1007,5.0479e-4
2000,F,Alaina,1004,5.0329e-4
2000,F,Rosa,1003,5.0279e-4
2000,F,Wendy,1003,5.0279e-4
2000,F,Logan,998,5.0028e-4
2000,F,Tabitha,992,4.9727e-4
2000,F,Paola,991,4.9677e-4
2000,F,Callie,989,4.9577e-4
2000,F,Addison,983,4.9276e-4
2000,F,Lucy,981,4.9176e-4
2000,F,Gillian,976,4.8925e-4
2000,F,Clarissa,974,4.8825e-4
2000,F,Destinee,973,4.8775e-4
2000,F,Esther,970,4.8624e-4
2000,F,Josie,969,4.8574e-4
2000,F,Denise,963,4.8274e-4
2000,F,Katlyn,963,4.8274e-4
2000,F,Mariana,944,4.7321e-4
2000,F,Bryanna,943,4.7271e-4
2000,F,Emilee,931,4.6669e-4
2000,F,Georgia,929,4.6569e-4
2000,F,Kamryn,922,4.6218e-4
2000,F,Deja,921,4.6168e-4
2000,F,Ashleigh,916,4.5918e-4
2000,F,Cristina,913,4.5767e-4
2000,F,Baylee,905,4.5366e-4
2000,F,Heaven,903,4.5266e-4
2000,F,Ruth,903,4.5266e-4
2000,F,Raquel,900,4.5115e-4
2000,F,Monique,899,4.5065e-4
2000,F,Teresa,898,4.5015e-4
2000,F,Helen,890,4.4614e-4
2000,F,Krystal,890,4.4614e-4
2000,F,Tiana,887,4.4464e-4
2000,F,Cassie,886,4.4414e-4
2000,F,Kayleigh,885,4.4364e-4
2000,F,Marina,884,4.4313e-4
2000,F,Ivy,880,4.4113e-4
2000,F,Heidi,879,4.4063e-4
2000,F,Clara,872,4.3712e-4
2000,F,Ashton,868,4.3511e-4
2000,F,Meagan,858,4.301e-4
2000,F,Gina,855,4.286e-4
2000,F,Linda,850,4.2609e-4
2000,F,Gloria,842,4.2208e-4
2000,F,Jacquelyn,831,4.1657e-4
2000,F,Ellie,829,4.1556e-4
2000,F,Jenny,826,4.1406e-4
2000,F,Renee,825,4.1356e-4
2000,F,Daniella,818,4.1005e-4
2000,F,Lizbeth,817,4.0955e-4
2000,F,Anahi,814,4.0804e-4
2000,F,Virginia,811,4.0654e-4
2000,F,Gisselle,810,4.0604e-4
2000,F,Kaitlynn,801,4.0153e-4
2000,F,Julissa,798,4.0002e-4
2000,F,Cheyanne,795,3.9852e-4
2000,F,Lacey,792,3.9702e-4
2000,F,Haleigh,789,3.9551e-4
2000,F,Marie,785,3.9351e-4
2000,F,Martha,781,3.915e-4
2000,F,Eleanor,771,3.8649e-4
2000,F,Kierra,764,3.8298e-4
2000,F,Tiara,764,3.8298e-4
2000,F,Talia,762,3.8198e-4
2000,F,Eliza,759,3.8047e-4
2000,F,Kaylie,759,3.8047e-4
2000,F,Mikaela,759,3.8047e-4
2000,F,Harley,756,3.7897e-4
2000,F,Jaden,752,3.7696e-4
2000,F,Hailee,751,3.7646e-4
2000,F,Madalyn,751,3.7646e-4
2000,F,Kasey,750,3.7596e-4
2000,F,Ashlynn,749,3.7546e-4
2000,F,Brandi,744,3.7295e-4
2000,F,Lesly,742,3.7195e-4
2000,F,Elisabeth,735,3.6844e-4
2000,F,Allie,734,3.6794e-4
2000,F,Viviana,733,3.6744e-4
2000,F,Cara,732,3.6694e-4
2000,F,Marisol,727,3.6443e-4
2000,F,India,723,3.6243e-4
2000,F,Litzy,722,3.6193e-4
2000,F,Tatyana,721,3.6143e-4
2000,F,Melody,720,3.6092e-4
2000,F,Jessie,719,3.6042e-4
2000,F,Brandy,718,3.5992e-4
2000,F,Alisha,715,3.5842e-4
2000,F,Hunter,714,3.5792e-4
2000,F,Noelle,710,3.5591e-4
2000,F,Carla,706,3.5391e-4
2000,F,Francesca,702,3.519e-4
2000,F,Tia,701,3.514e-4
2000,F,Layla,697,3.4939e-4
2000,F,Krista,695,3.4839e-4
2000,F,Zoey,691,3.4639e-4
2000,F,Carley,687,3.4438e-4
2000,F,Janet,686,3.4388e-4
2000,F,Carissa,685,3.4338e-4
2000,F,Iris,685,3.4338e-4
2000,F,Kaleigh,684,3.4288e-4
2000,F,Susan,683,3.4238e-4
2000,F,Tyler,683,3.4238e-4
2000,F,Tamara,680,3.4087e-4
2000,F,Theresa,679,3.4037e-4
2000,F,Yasmine,676,3.3887e-4
2000,F,Tatum,675,3.3837e-4
2000,F,Sharon,670,3.3586e-4
2000,F,Alice,668,3.3486e-4
2000,F,Yasmin,668,3.3486e-4
2000,F,Tamia,664,3.3285e-4
2000,F,Abbey,660,3.3085e-4
2000,F,Alayna,660,3.3085e-4
2000,F,Kali,660,3.3085e-4
2000,F,Lilly,659,3.3035e-4
2000,F,Bailee,658,3.2984e-4
2000,F,Lesley,658,3.2984e-4
2000,F,Mckayla,658,3.2984e-4
2000,F,Ayanna,656,3.2884e-4
2000,F,Serenity,654,3.2784e-4
2000,F,Karissa,649,3.2533e-4
2000,F,Precious,648,3.2483e-4
2000,F,Jane,647,3.2433e-4
2000,F,Maddison,647,3.2433e-4
2000,F,Jayda,645,3.2333e-4
2000,F,Lexi,642,3.2182e-4
2000,F,Kelsie,641,3.2132e-4
2000,F,Phoebe,641,3.2132e-4
2000,F,Halle,639,3.2032e-4
2000,F,Kiersten,638,3.1982e-4
2000,F,Kiera,636,3.1882e-4
2000,F,Tyra,635,3.1831e-4
2000,F,Annika,634,3.1781e-4
2000,F,Felicity,634,3.1781e-4
2000,F,Taryn,633,3.1731e-4
2000,F,Kaylin,632,3.1681e-4
2000,F,Ellen,631,3.1631e-4
2000,F,Kiley,628,3.1481e-4
2000,F,Jaclyn,614,3.0779e-4
2000,F,Rhiannon,612,3.0679e-4
2000,F,Madisyn,610,3.0578e-4
2000,F,Colleen,609,3.0528e-4
2000,F,Joy,607,3.0428e-4
2000,F,Charity,606,3.0378e-4
2000,F,Pamela,606,3.0378e-4
2000,F,Tania,604,3.0277e-4
2000,F,Fiona,603,3.0227e-4
2000,F,Kaila,600,3.0077e-4
2000,F,Alyson,599,3.0027e-4
2000,F,Annabelle,597,2.9927e-4
2000,F,Emely,597,2.9927e-4
2000,F,Irene,596,2.9876e-4
2000,F,Angelique,595,2.9826e-4
2000,F,Alina,594,2.9776e-4
2000,F,Johanna,594,2.9776e-4
2000,F,Regan,592,2.9676e-4
2000,F,Janelle,591,2.9626e-4
2000,F,Janae,589,2.9526e-4
2000,F,Madyson,588,2.9475e-4
2000,F,Paris,585,2.9325e-4
2000,F,Justine,583,2.9225e-4
2000,F,Chelsey,579,2.9024e-4
2000,F,Sasha,579,2.9024e-4
