State,Date,people_vaccinated,total_distributed,share_doses_used,people_vaccinated_per100,Governor,Region,month0,day0,year0,est_population,dist_per_person,prev_day,daily_vaccinated
Alabama,2021-01-12,70861,377025,0.207,1.45,R,S,1,12,2021,4886965.517241379,0.07714910176260567,NA,70861
Alabama,2021-01-13,74792,378975,0.222,1.53,R,S,1,13,2021,4888366.013071896,0.07752590517702428,70861,3931
Alabama,2021-01-14,80480,435350,0.212,1.64,R,S,1,14,2021,4907317.073170732,0.08871446322067594,74792,5688
Alabama,2021-01-15,86956,444650,0.226,1.77,R,S,1,15,2021,4912768.361581921,0.09050905055430333,80480,6476
Alabama,2021-01-19,114319,444650,0.294,2.33,R,S,1,19,2021,4906394.849785408,0.09062662374583402,86956,27363
Alabama,2021-01-20,121113,483275,0.288,2.47,R,S,1,20,2021,4903360.323886639,0.09855996053272564,114319,6794
Alabama,2021-01-21,144429,493125,0.336,2.95,R,S,1,21,2021,4895898.305084745,0.10072206759030389,121113,23316
Alabama,2021-01-22,174317,519525,0.384,3.56,R,S,1,22,2021,4896544.943820225,0.10610032297481026,144429,29888
Alabama,2021-01-23,193955,521225,0.425,3.96,R,S,1,23,2021,4897853.535353536,0.10641906627826041,174317,19638
Alabama,2021-01-24,213833,521225,0.468,4.36,R,S,1,24,2021,4904426.605504586,0.10627644002562749,193955,19878
Alabama,2021-01-25,220464,521225,0.481,4.5,R,S,1,25,2021,4899200,0.1063898187459177,213833,6631
Alabama,2021-01-26,223854,569000,0.448,4.57,R,S,1,26,2021,4898336.980306345,0.11616187336388897,220464,3390
Alabama,2021-01-27,232633,634000,0.42,4.74,R,S,1,27,2021,4907869.198312236,0.12918029686243998,223854,8779
Alabama,2021-01-28,241337,655275,0.426,4.92,R,S,1,28,2021,4905223.577235772,0.13358718306766057,232633,8704
Alabama,2021-01-29,256601,659400,0.456,5.23,R,S,1,29,2021,4906328.871892925,0.1343978394472352,241337,15264
Alabama,2021-01-30,288368,659400,0.519,5.88,R,S,1,30,2021,4904217.68707483,0.1344556955001942,256601,31767
Alabama,2021-01-31,298301,659400,0.537,6.08,R,S,1,31,2021,4906266.447368421,0.13439954944837598,288368,9933
Alabama,2021-02-01,301628,659400,0.543,6.15,R,S,2,1,2021,4904520.325203252,0.1344473987826064,298301,3327
Alabama,2021-02-02,312711,680550,0.546,6.38,R,S,2,2,2021,4901426.332288401,0.13884733827719523,301628,11083
Alabama,2021-02-03,324998,765150,0.508,6.63,R,S,2,3,2021,4901930.618401207,0.1560915605634496,312711,12287
